,Product_Name,Price,Ratings
0,"realme 13 Pro 5G (Monet Gold, 128 GB)","₹26,999",3.7
1,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999",4.5
2,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",4.2
3,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",4.2
4,"vivo T3x 5G (Celestial Green, 128 GB)","₹16,499",4.4
5,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹16,499",4.4
6,"Motorola g64 5G (Pearl Blue, 128 GB)","₹14,999",4.2
7,"Motorola g64 5G (Ice Lilac, 256 GB)","₹16,999",4.2
8,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999",4.5
9,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999",4.5
10,"POCO C65 (Pastel Green, 256 GB)","₹9,499",4.2
11,"Motorola g64 5G (Mint Green, 128 GB)","₹14,999",4.2
12,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹24,999",4.5
13,"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹22,999",4.5
14,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",4.2
15,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,310",4.4
16,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,237",4.4
17,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,799",4.4
18,"realme 12x 5G (Woodland Green, 128 GB)","₹14,999",4.4
19,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999",4.4
20,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,867",4.4
21,"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999",4.5
22,"realme P1 5G (Peacock Green, 128 GB)","₹16,999",4.3
23,"realme P1 5G (Phoenix Red, 128 GB)","₹16,999",4.3
